Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
7992,224639,52711,7.8,13.3,25,28.4,33.4,15.8,0.000110446
3412,119883,54355,4.5,15.9,30.4,31.3,22.4,13.7,7.99E-05
204,8687,29572,10.9,17.2,36.9,23.1,22.8,33.9,4.66E-06
578,19793,40249,6.5,18.5,37.2,30.2,14.1,24.3,8.67E-06
1061,32966,41271,4.9,15,35.7,25.5,23.7,21.8,1.89E-05
530,22920,42922,4.7,20.4,34.9,28.2,16.5,17.5,1.52E-05
1550,58237,43670,5.1,16.2,31.4,34.6,17.8,18.9,3.51E-05
2984,90739,65403,4.9,15.4,35.6,32.9,16.1,11.2,5.55E-05
7448,221428,77801,3.9,7.3,19.8,29.9,42.9,6.2,0.000108857
182,12225,29209,7,13.3,35.4,29.8,21.6,36.4,5.22E-06
2956,79985,47719,7,19.7,33.7,31.6,15,17.4,4.19E-05
1607,40133,47100,6.9,19.3,32.7,29.5,18.4,16,2.16E-05
6858,210758,52307,6.6,11.7,29.9,27.7,30.7,16.2,6.16E-05
1904,63143,45991,5.8,18.2,37.5,33,11.3,17.3,3.08E-05
467,15976,48864,8,17.4,43.1,26.9,12.7,18.6,5.71E-06
372,10206,30998,14.7,23.5,39.5,24.5,12.5,32.5,4.44E-06
756,23508,40827,4.7,21.2,38.2,27.8,12.8,16.7,1.48E-05
335,9482,66923,4,14.5,43.5,30.5,11.5,14.8,5.24E-07
13,2614,62548,15.6,2.5,30.2,33.6,33.8,9.8,4.31E-07
0,2141,53141,13.5,6.3,38.5,33.9,21.3,15.7,1.26E-07
314,31849,85419,6.6,3.6,21.6,36.4,38.4,6.3,4.55E-06
795,59414,68625,9.1,7.3,31.2,36.8,24.6,10.4,1.43E-06
181,13747,75706,9.6,7.2,29.7,37.8,25.3,9.4,1.09E-06
191,12992,79669,6.2,10.2,29.7,32.1,28,7.1,7.58E-07
510,8328,35369,19.4,21.1,56,19,3.9,26.8,1.88E-07
0,1493,51693,9.4,12,44.2,27.7,16.1,17.4,2.41E-08
4819,110213,75856,8.3,7.1,33.1,38.3,21.6,9.6,1.72E-06
75,9909,58464,10.5,15.4,41.1,27.3,16.1,20.7,1.67E-07
259,9294,84784,5.9,10.3,43,30.2,16.5,11.4,4.04E-08
259,26480,84784,5.9,10.3,43,30.2,16.5,11.4,1.15E-07
213,7644,61660,12,17.5,46.7,22.6,13.2,24,8.28E-08
